"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2021","73,200","73,200","73,200","73,200","","0.00%"
"10/01/2021","73,200","73,900","74,000","72,900","15.70M","-1.21%"
"09/30/2021","74,100","74,300","74,800","73,800","6.44K","0.00%"
"09/29/2021","74,100","74,800","75,300","73,800","15.27K","-2.88%"
"09/28/2021","76,300","77,600","77,600","76,200","0.94K","-1.80%"
"09/27/2021","77,700","77,300","77,700","77,000","11.63M","0.52%"
"09/26/2021","77,300","77,300","77,300","77,300","","0.00%"
"09/24/2021","77,300","77,600","77,700","77,100","11.85M","-0.13%"
"09/23/2021","77,400","77,500","77,600","76,900","0.49K","0.26%"
"09/22/2021","77,200","77,200","77,200","77,200","","0.00%"
"09/17/2021","77,200","76,300","77,200","75,900","15.66M","1.45%"
"09/16/2021","76,100","77,300","77,400","76,100","12.88M","-1.17%"
"09/15/2021","77,000","77,200","77,300","76,500","0.04K","0.52%"
"09/14/2021","76,600","77,000","77,700","76,600","3.83K","0.39%"
"09/13/2021","76,300","75,100","76,300","75,100","1.17K","1.33%"
"09/12/2021","75,300","75,300","75,300","75,300","","0.00%"
"09/10/2021","75,300","75,300","75,600","74,800","10.04M","0.00%"
"09/09/2021","75,300","76,300","76,600","75,000","1.06K","-1.31%"
"09/08/2021","76,300","76,100","76,400","75,600","1.09K","0.26%"
"09/07/2021","76,100","77,100","77,100","75,900","2.76K","-1.55%"
"09/06/2021","77,300","76,800","77,600","76,600","3.42K","0.91%"
"09/05/2021","76,600","76,600","76,600","76,600","","0.00%"
"09/03/2021","76,600","76,400","76,700","76,000","11.89M","0.79%"
"09/02/2021","76,000","76,800","76,800","75,700","1.76K","-1.04%"
"09/01/2021","76,800","76,600","77,100","75,900","0.84K","0.13%"
"08/31/2021","76,700","74,800","76,700","74,300","16.70K","2.82%"
"08/30/2021","74,600","75,400","75,400","74,200","4.29K","0.40%"
"08/29/2021","74,300","74,300","74,300","74,300","","0.00%"
"08/27/2021","74,300","74,300","75,000","73,800","15.06M","-0.40%"
"08/26/2021","74,600","76,100","76,200","74,600","4.67K","-1.45%"
"08/25/2021","75,700","76,200","76,500","74,900","2.00K","0.13%"
"08/24/2021","75,600","73,900","75,700","73,900","0.37K","3.14%"
"08/23/2021","73,300","73,300","74,000","73,000","19.30M","0.83%"
"08/22/2021","72,700","72,700","72,700","72,700","","0.00%"
"08/20/2021","72,700","73,500","73,900","72,500","22.12M","-0.55%"
"08/19/2021","73,100","73,500","74,400","73,100","18.14K","-1.08%"
"08/18/2021","73,900","73,900","74,600","73,100","28.93M","-0.40%"
"08/17/2021","74,200","74,300","75,100","74,000","7.44K","-0.27%"
"08/16/2021","74,400","74,400","74,400","74,400","","0.00%"
"08/13/2021","74,400","75,800","76,000","74,100","60.80M","-3.38%"
"08/12/2021","77,000","77,300","78,200","76,900","57.26K","-1.91%"
"08/11/2021","78,500","79,600","79,800","78,500","29.83M","-2.12%"
"08/10/2021","80,200","82,300","82,300","80,100","13.75K","-1.60%"
"08/09/2021","81,500","81,500","82,300","80,900","15.37M","0.00%"
"08/08/2021","81,500","81,500","81,500","81,500","","0.00%"
"08/06/2021","81,500","81,900","82,500","81,300","13.28M","-0.73%"
"08/05/2021","82,100","83,200","83,300","82,000","2.46K","-0.97%"
"08/04/2021","82,900","82,100","83,100","81,800","25.81K","1.84%"
"08/03/2021","81,400","79,400","81,400","79,300","1.46K","2.65%"
"08/02/2021","79,300","79,100","79,500","78,700","1.55K","1.02%"
"08/01/2021","78,500","78,500","78,500","78,500","","0.00%"
"07/30/2021","78,500","78,900","78,900","78,500","13.12M","-0.63%"
"07/29/2021","79,000","78,900","79,300","78,800","3.62K","-0.25%"
"07/28/2021","79,200","78,200","79,200","78,100","9.00K","0.89%"
"07/27/2021","78,500","79,100","79,300","78,500","4.44K","-0.38%"
"07/26/2021","78,800","79,400","79,500","78,800","1.25K","-0.63%"
"07/25/2021","79,300","79,300","79,300","79,300","","0.00%"
"07/23/2021","79,300","79,700","79,900","79,200","8.98M","-0.50%"
"07/22/2021","79,700","79,000","79,800","78,900","11.63K","1.53%"
"07/21/2021","78,500","79,000","79,100","78,500","0.17K","-0.63%"
"07/20/2021","79,000","78,600","79,000","78,400","0.55K","0.00%"
"07/19/2021","79,000","79,200","79,200","78,800","2.48K","-1.00%"
"07/18/2021","79,800","79,800","79,800","79,800","","0.00%"
"07/16/2021","79,800","80,100","80,100","79,500","10.78M","-0.99%"
"07/15/2021","80,600","79,800","80,600","79,500","0.70K","1.38%"
"07/14/2021","79,500","79,400","79,600","79,100","11.41M","-0.38%"
"07/13/2021","79,800","79,900","80,200","79,800","8.22K","0.13%"
"07/12/2021","79,700","79,900","80,000","79,500","0.77K","0.38%"
"07/11/2021","79,400","79,400","79,400","79,400","","0.00%"
"07/09/2021","79,400","79,600","79,800","79,000","22.41M","-0.63%"
"07/08/2021","79,900","81,100","81,100","79,900","6.82K","-1.11%"
"07/07/2021","80,800","81,300","81,300","80,300","9.41K","-0.49%"
"07/06/2021","81,200","80,500","81,200","80,500","22.57K","1.00%"
"07/05/2021","80,400","80,200","80,800","80,000","0.76K","0.50%"
"07/04/2021","80,000","80,000","80,000","80,000","","0.00%"
"07/02/2021","80,000","80,000","80,400","79,900","8.18M","-0.12%"
"07/01/2021","80,100","80,600","80,600","80,000","13.59K","-0.74%"
"06/30/2021","80,700","81,200","81,400","80,700","0.97K","-0.37%"
"06/29/2021","81,000","81,900","82,100","80,800","1.58K","-1.10%"
"06/28/2021","81,900","81,700","82,000","81,600","56.64K","0.37%"
"06/27/2021","81,600","81,600","81,600","81,600","","0.00%"
"06/25/2021","81,600","81,500","81,900","81,200","12.97M","0.49%"
"06/24/2021","81,200","80,300","81,400","80,100","2.11K","1.37%"
"06/23/2021","80,100","80,600","80,600","79,900","2.25K","0.13%"
"06/22/2021","80,000","80,200","80,300","79,900","1.38K","0.13%"
"06/21/2021","79,900","79,700","80,000","79,600","15.99M","-0.75%"
"06/20/2021","80,500","80,500","80,500","80,500","","0.00%"
"06/18/2021","80,500","81,100","81,100","80,500","14.62M","-0.49%"
"06/17/2021","80,900","81,200","81,200","80,700","0.39K","-1.10%"
"06/16/2021","81,800","81,400","81,900","81,100","2.27K","1.11%"
"06/15/2021","80,900","80,900","81,200","80,600","9.84M","0.50%"
"06/14/2021","80,500","80,900","80,900","80,500","1.07K","-0.62%"
"06/13/2021","81,000","81,000","81,000","81,000","","0.00%"
"06/11/2021","81,000","81,200","81,700","80,700","13.81M","0.00%"
"06/10/2021","81,000","81,400","81,400","80,900","0.32K","-0.12%"
"06/09/2021","81,100","81,600","82,000","81,100","4.87K","-0.98%"
"06/08/2021","81,900","82,300","82,600","81,800","13.46K","0.00%"
"06/07/2021","81,900","82,700","82,800","81,600","3.95K","-0.36%"
"06/06/2021","82,200","82,200","82,200","82,200","","0.00%"
"06/04/2021","82,200","82,700","82,700","81,500","18.06M","-0.72%"
"06/03/2021","82,800","81,300","83,000","81,100","12.10K","2.48%"
"06/02/2021","80,800","80,400","81,400","80,300","1.27K","0.25%"
"06/01/2021","80,600","80,400","81,200","80,100","4.06K","0.12%"
"05/31/2021","80,500","80,300","80,600","79,600","13.28M","0.50%"
"05/30/2021","80,100","80,100","80,100","80,100","","0.00%"
"05/28/2021","80,100","79,800","80,400","79,400","12.27M","0.63%"
"05/27/2021","79,600","80,000","80,000","79,100","1.51K","-0.25%"
"05/26/2021","79,800","80,300","80,500","79,700","0.79K","-0.13%"
"05/25/2021","79,900","80,000","80,400","79,800","12.55M","0.25%"
"05/24/2021","79,700","80,100","80,400","79,500","0.88K","-0.50%"
"05/23/2021","80,100","80,100","80,100","80,100","","0.00%"
"05/21/2021","80,100","80,100","81,500","79,800","20.80M","0.75%"
"05/20/2021","79,500","79,400","79,700","79,100","0.32K","-0.13%"
"05/19/2021","79,600","79,600","79,600","79,600","","0.00%"
"05/18/2021","79,600","79,600","80,000","79,100","17.27M","0.00%"
"05/17/2021","79,600","80,900","80,900","79,200","6.45K","-0.62%"
"05/16/2021","80,100","80,100","80,100","80,100","","0.00%"
"05/14/2021","80,100","79,000","80,300","78,900","16.37M","2.04%"
"05/13/2021","78,500","78,900","79,600","78,500","4.26K","-1.88%"
"05/12/2021","80,000","80,900","81,100","79,800","9.71K","-1.48%"
"05/11/2021","81,200","82,500","82,500","81,100","12.16K","-2.40%"
"05/10/2021","83,200","82,300","83,500","81,800","7.02K","1.59%"
"05/09/2021","81,900","81,900","81,900","81,900","","0.00%"
"05/07/2021","81,900","81,800","82,100","81,500","12.80M","-0.49%"
"05/06/2021","82,300","81,700","82,300","81,700","16.85M","-0.36%"
"05/05/2021","82,600","82,600","82,600","82,600","","0.00%"
"05/04/2021","82,600","81,900","82,600","81,800","12.29M","1.10%"
"05/03/2021","81,700","81,000","82,400","81,000","15.58M","0.25%"
"05/02/2021","81,500","81,500","81,500","81,500","","0.00%"
"04/30/2021","81,500","81,900","82,100","81,500","17.26M","-0.24%"
"04/29/2021","81,700","82,400","82,400","81,500","2.84K","-0.49%"
"04/28/2021","82,100","83,100","83,200","82,100","6.80K","-0.97%"
"04/27/2021","82,900","83,300","83,300","82,500","3.86K","-0.72%"
"04/26/2021","83,500","82,900","83,500","82,600","3.37K","0.85%"
"04/25/2021","82,800","82,800","82,800","82,800","","0.00%"
